,question,category,answer,choices/0,choices/1,choices/2,choices/3
1434,"On 18 February 1943, Joseph Goebbels gave a speech, aiming to persuade the Germans not to give up Nazi idealism. The speech was delivered in front of which building, located near Potzdamer Platz?",history,Berlin Sportpalast,Brandenburg Gate,Berliner Dom,Berlin Sportpalast,Reichstag Building
1435,"Which top Nazi Leader, considered a possible successor of Hitler, chief of the Reich Main Security Office, and Reich governor of Bohemia and Moravia, was killed during Operation Anthropoid?",history,Reinhard Heydrich,Martin Bormann,Heinrich Himmler,Reinhard Heydrich,Ernst Kaltenbrunner
1436,"Winston Churchill made the following statement about the battle that occurred between October 23 and November 3, 1942: Now this is not the end, it is not even the beginning of the end. But it is, perhaps, the end of the beginning. Name the battle.",history,Second Battle of El Alamein,First Battle of El Alamein,Attack on Pearl Harbor,Operation Anthropoid,Second Battle of El Alamein
1437,"This major battle that the Germans failed during WW II became the largest armored engagement of all time, and included the most costly single day of aerial warfare in history.",history,The battle of Kursk,The battle in Berlin,Operation Bagration in Belarus,The battle of Kursk,The battle of Normandy
1438,What was the name of the bomb dropped over Nagasaki during WW II?,history,Fat Man,None of these,Fat Man,Small Head,Little Boy
1439,"Rosie the Riveter was a character that represented all the women joining the workforce during World War II, when the factories were empty and needed staff. The picture of Rosie could be seen on many posters and stamps all of which had what slogan?",history,We can do it!,We can do it!,Women can work!,We are strong!,Women support the war effort!
1440,"This organization, often referred to as a predecessor of the European Union, was founded after WW II to prevent the outbreak of such conflicts.",history,European Coal and Steel Community,European Peace Institute,European Anti War Committee,European Commission,European Coal and Steel Community
1441,"The Cold war, which began in 1947 was a consequence of World War II. Who were the leaders of the two superpowers (The USA and the Soviet Union) at the beginning of the Cold War?",history,Truman and Stalin,Truman and Stalin,Eisenhower and Kruschev,Eisenhower and Stalin,Molotov and Roosevelt
1442,What war began in 1914?,history,World War I,Russo-Japanese war,World War I,World War II,Spanish-American war
1444,When was the first rollercoaster built?,history,1884,1884,1939,1929,1892
1445,Who was Time Magazines Person of the Year for 2007?,history,Vladimir Putin,Al Gore,J. K. Rowling,Vladimir Putin,Hu Jintao
1446,"People Magazine named a 2007 Star of the Year. This star is the new face of Versace, plays around with a Grand-Am race car and became the father of two. Who is this Prince Charming?",history,Patrick Dempsey,Johnny Depp,Brad Pitt,Tiger Woods,Patrick Dempsey
1447,What gentleman made the cover of Details Magazine and was ranked # 7 as a Good Father in Details Magazines 50 Most Influential Men Under 45?,history,Kevin Federline,Sean Combs,Barack Obama,Brad Pitt,Kevin Federline
1448,What author broke the record for book sales when the last book in her famous series sold 15 million copies in 24 hours?,history,J. K. Rowling,Dan Brown,Norman Mailer,C. S. Lewis,J. K. Rowling
1449,Time Magazine made a list of The Ten Best Buzzwords of 2007. The #1 Buzzword was a noun meaning an older woman who romantically pursues younger men.  What was Time Magazines # 1 Buzzword in 2007?,history,Cougar,Vixen,Fox,Cougar,Badger
1450,The movie No Country for Old Men based on the novel by Cormac McCarthy was on many list of 10 Best Films of the Year and won Best Picture from the National Board of Review and the Critics Choice Awards.  Who directed No Country for Old Men?,history,The Coen Brothers,The Coen Brothers,Clint Eastwood,Tim Burton,Sean Penn
1451,"Together at last! Late Show with David Letterman won the # 1 spot in The 10 Best TV Ads.
Long thought to be estranged, what billionaire is Dave cuddling up with to cheer on their respective football teams.",history,Oprah Winfrey,Drew Barrymore,Oprah Winfrey,Steve Jobs,Madonna
1452,"In college football, 2007 may well be remembered as the year of the upset. On October 13, November 23, 24 and December 1st both the # 1and # 2 teams in the US suffered upsets and the 2007 regular season ended with Pitts shocking  win over West Virginia. But it was the defeat of Michigan, the fifth ranked team in the nation, by a 1-AA team that has been touted by many as the greatest upset in college football history. What team became the first 1-AA team to beat a ranked 1- A team?",history,Appalachian State University,Appalachian State University,Montana State,University of Delaware,The Citadel
1453,"If you cant do the time, dont commit the crime. Which of the following celebrities spent the LEAST amount of time in jail in 2007?",history,Nicole Richie,Nicole Richie,Michelle Rodrigues,Paris Hilton,Lindsay Lohan
1454,"The town of Hastings, where the Battle of Hastings took place, is located in which county?",history,East Sussex,Kent,Surrey,East Sussex,West Sussex
1457,Which Anglo-Saxon King of England died at the Battle of Hastings?,history,Harold II,Charles II,Charles I,Richard III,Harold II
1458,"How many minutes did President Bush remain seated, reading My Pet Goat in a 3rd-grade classroom in Florida, after he was first told  America is under attack on September 11, 2001?",history,5 Minutes,2 minutes,5 Minutes,1 minute,10 minutes
1459,"Lawrence Wright, author of The Looming Tower, a new account of Al Qaedas attack on the U.S., reveals that the Afghans fighting alongside bin Laden in the 1980s considered him what?",history,useless,a religious zealot,a strategic genius,a courageous warrior,useless
1460,"What was the flight number of the hijacked plane that crashed in rural Pennsylvania on September 11, 2001?",history,United 93,United 175,American 11,American 77,United 93
1462,"The CIA knew Al Qaeda operatives met secretly in Malaysia in January 2001, and that later two of them, eventual 9/11 hijackers, entered the U.S. When did the CIA share this with the FBI?",history,"August, 2001","August, 2001",June 2000,"January, 2001","February, 2000"
1463,"Where did an FBI investigator argue futilely with his bosses a month before 9/11, by saying: Im trying to keep someone from taking a plane and crashing into the World Trade Center.?",history,Minneapolis,"Riyadh, Saudi Arabia","Washington, DC",Minneapolis,"Baghdad, Iraq"
1464,What does the Arabic term Al Qaeda mean?,history,"the base, or foundation",the revenge,"the base, or foundation",the struggle,justice
1466,How did former FBI anti-terrorist squad leader John ONeill die on 9/11?,history,He was in the midst of new duties as head of security at the World Trade Center.,He was attending a meeting in the portion of  the Pentagon that was struck by one of the hijacked planes.,He was in the midst of new duties as head of security at the World Trade Center.,He was helping firemen rescue people trapped on the top floors of the South Tower when it collapsed.,He was a passenger on the plane that crashed in Pennsylvania.
1467,"The Shuttle consisted of 2.5 million parts, including more than 1,000 plumbing valves, 1,400 circuit breakers and 230 miles of wire. The most complex job of building the Shuttle went to this company in Southern California.  They had to design and assemble the orbiter itself.",history,Rockwell International,Space Systems LORAL,Rockwell International,SAIC,Raytheon Systems
1468,"When America grew more entrenched in Vietnam and struggled with racial and economic problems at home, many voters and politicians alike believed the space program should be abandoned altogether.  Some of Richard Nixons closest advisors however, convinced him that the shuttle should be built.  They gave this as an example of how a reusable space vehicle would be used, and Nixon liked it.",history,The Shuttle would captire Soviet satellites,The Shuttle would launch nuclear missiles from space,The Shuttle would captire Soviet satellites,The Shuttle would spy on enemies,The Shuttle would help build a space station
1469,"In the morning of September 17, 1976 the Shuttle manufacturer treated the world to a glimpse of the future; a test model of the orbiter, one not intended for space flight, rolled out of their Palmdale, CA plant.  What name had the designers given this model?",history,Enterprise,Enterprise,Millennium Falcon,Discovery,Columbia
1470,"Space Shuttles are transported to the launch pad on this slow-moving 6,000,000 pound (approx. 2,725,000 kg) vehicle.  Fully loaded, it moves at a rate of 1 mph.",history,Shuttle Crawler Transporter,Big Bertha Transporter,Shuttle Tracked Vehicle,Tracked Shuttle Transporter,Shuttle Crawler Transporter
1471,"It takes this long after liftoff, before the orbiter starts circling Earth at 17,500mph (28,000km/h).",history,8 minutes,19 minutes,3 minutes,8 minutes,50 seconds
1472,"This once white and now orange part breaks up, as it falls through the intense heat of the Earths atmosphere.  It is the only expendable part of the Shuttle.",history,External Fuel Tank,Top O-ring of the fuel tank,External Rocket Booster,External Fuel Tank,Phase 1 Engine
1473,NASA selected this astronaut to command the first Columbia flight.  He was a veteran of two Gemini and two Apollo missions and considered to be NASAs most experienced astronaut at the time.,history,John Young,John Young,Byron Lichtenberg,John Glenn,Bob Crippen
1474,"Prior to every Space Shuttle flight, a series of events take place at Floridas Kennedy Space Center.  The Shuttle is rolled out of its processing hanger on a 96-wheel transporter and carried to this 525 ft. tall building, originally built to assemble Saturn V rockets.",history,Vehicle Asembly Building (VAB),Modules Integration Facility (MIF),Final Inspection Room (FIP),Themal Tile Processing Plant (TTPP),Vehicle Asembly Building (VAB)
